prompts,response
Discuss the legal implications of nonappearance in response to a proclamation under section 82 of Act 2 of 1974 as per Indian Penal Code (IPC 1860) Section 174A: Nonappearance in response to a proclamation under section 82 of Act 2 of 1974 and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.Discuss the legal implications of omission to produce a document to a public servant by a person legally bound to produce it according to Indian Penal Code (IPC 1860) Section 175: Omission to produce document to public servant by person legally bound to produce it and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '174A', 'IPC Heading': 'Nonappearance in response to a proclamation under section 82 of Act 2 of 1974', 'IPC Descriptions': 'Indian Penal Code (IPC) S. 174A. Nonappearance in response to a proclamation under Section 82 of Act 2 of 1974.\n[i][174A. Nonappearance in response to a proclamation under Section 82 of Act 2 of 1974.—Whoever fails to appear at the specified place and the specified time as required by a proclamation published under subsection (1) of Section 82 of the Code of Criminal Procedure, 1973 shall be punished with imprisonment for a term which may extend to three years or with fine or with both, and where a declaration has been made under subsection (4) of that section pronouncing him as a proclaimed offender, he shall be punished with imprisonment for a term which may extend to seven years and shall also be liable to fine.]', 'BNS Section': '209', 'BNS Heading': 'Nonappearance in response to a proclamation under section 84 of Nyaya Nagarik Suraksha Sanhita, 2023', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n209. Nonappearance in response to a proclamation under section 84 of Bharatiya Nagarik Suraksha Sanhita, 2023.\nWhoever fails to appear at the specified place and the specified time as required by a proclamation published under subsection (1) of section 84 of the Bharatiya Nagarik Suraksha Sanhita, 2023, shall be punished with imprisonment for a term which may extend to three years, or with fine, or with both, or with community service, and where a declaration has been made under subsection (4) of that section pronouncing him as a proclaimed offender, he shall be punished with imprisonment for a term which may extend to seven years and shall also be liable to fine.'}"
"Explain the provisions for omission to give notice or information to a public servant by a person legally bound to give it as outlined in Indian Penal Code (IPC 1860) Section 175	Omission to produce document or electronic record to public servant by person, legally bound to produce it and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.","{'IPC Section': '175', 'IPC Heading': 'Omission to produce document or electronic record to public servant by person, legally bound to produce it', 'IPC Descriptions': ' Indian Penal Code, 1860 \n175.\nOmission to produce document to public servant by person legally bound to\nproduce it \nWhoever, being legally\nbound to produce or deliver up any document of any public servant, as such,\nintentionally omits so to produce or deliver up the same, shall be punished\nwith simple imprisonment for a term which may extend to one month, or with fine\nwhich may extend to five hundred rupees, or with both,\nor, if the document is\nto be produced or delivered up to a Court of Justice, with simple imprisonment\nfor a term which may extend to six months, or with fine which may extend to one\nthousand rupees, or with both.\nIllustration\nA, being legally bound\nto produce a document before a 94[District Court], intentionally\nomits to produce the same. A has committed the offence defined in this section.', 'BNS Section': '210', 'BNS Heading': 'Omission to produce document or electronic record to public servant by person legally bound to produce it', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n210. Omission to Produce document or electronic record to public servant by person legally bound to produce it.\nWhoever, being legally bound to produce or deliver up any document or electronic record to any public servant, as such, intentionally omits so to produce or deliver up the same,\n(a) shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five thousand rupees, or with both;\n(b) and where the document or electronic record is to be produced or delivered up to a Court with simple imprisonment for a term which may extend to six months, or with fine which may extend to ten thousand rupees, or with both.\nIllustration.\nA, being legally bound to produce a document before a District Court, intentionally omits to produce the same. A has committed the offence defined in this section.'}"
Explain the provisions for omission to give notice or information to a public servant by a person legally bound to give it as outlined in Indian Penal Code (IPC 1860) Section 176: Omission to give notice or information to public servant by person legally bound to give it and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '176', 'IPC Heading': 'Omission to give notice or information to public servant by person legally bound to give it', 'IPC Descriptions': ' Indian Penal Code, 1860 \n176        Omission to give notice or information to public servant by person legally bound to give it\nWhoever, being legally bound to give any notice or to furnish information on any subject to any public servant, as such, intentionally omits to give such notice or to furnish such information in the manner and at the time required by law, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both; or, if the notice or information required to be given respects the commission of an offence, or is required for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both; or, if the notice or information required to be given is required by an order passed under sub-section (1) of section 565 of the Code of Criminal Procedure, 1898 (5 of 1898), with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.', 'BNS Section': '211', 'BNS Heading': 'Omission to give notice or information to public servant by person legally bound to give it.', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n211. Omission to give notice or information to public servant by person legally bound to give it.\nWhoever, being legally bound to give any notice or to furnish information on any subject to any public servant, as such, intentionally omits to give such notice or to furnish such information in the manner and at the time required by law,-\n(a) shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five thousand rupees, or with both;\n(b) where the notice or information required to be given respects the commission of an offence, or is required for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, with simple imprisonment for a term which may extend to six months, or with fine which may extend to ten thousand rupees, or with both;\n(c) where the notice or information required to be given is required by an order passed under section 394 of the Bharatiya Nagarik Suraksha Sanhita, 2023 with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.'}"
Discuss the consequences of furnishing false information as per Indian Penal Code (IPC 1860) Section 177: Furnishing false information and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '177', 'IPC Heading': 'Furnishing false information', 'IPC Descriptions': ' Indian Penal Code, 1860 \n177        Furnishing false information\nWhoever, being legally bound to furnish information on any subject to any public servant, as such, furnishes, as true, information on the subject which he knows or has reason to believe to be false shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both; or, if the information which he is legally bound to give respects the commission of an offence, or is required for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, with imprisonment of either description for a term which may extend to two years, or with fine, or with both. Illustrations A, a landholder, knowing of the commission of a murder within the limits of his estate, willfully misinforms the Magistrate of the district that the death has occurred by accident in consequence of the bite of a snake. A is guilty of the offence defined in this section. A, a village watchman, knowing that a considerable body of strangers has passed through his village in order to commit a dacoity in the house of Z, a wealthy merchant residing in a neighboring place, and being bound under clause 5, section VII , Regulation III , 1821, of the Bengal Code, to give early and punctual information of the above fact to the officer of the nearest police station, willfully misinforms the police officer that a body of suspicious characters passed through the village with a view to commit dacoity in a certain distant place in a different direction. Here A is guilty of the offence defined in the latter part of this section. Explanations In section 176 and in this section the word “offence” includes any act committed at any place out of India, which, if committed in India, would be punishable under any of the following sections, namely, 302, 304, 382, 392, 393, 394, 395, 396, 397, 398, 399, 402, 435, 436, 449, 450, 457, 458, 459 and 460; and the word “offender” includes any person who is alleged to have been guilty of any such act.', 'BNS Section': '212', 'BNS Heading': 'Furnishing false information', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n212. Furnishing False information.\nWhoever, being legally bound to furnish information on any subject to any public servant, as such, furnishes, as true, information on the subject which he knows or has reason to believe to be false,-\n(a) shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to five thousand rupees, or with both;\n(b) where the information which he is legally bound to give respects the commission of an offence, or is required for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, with imprisonment of either description for a term which may extend to two years, or with fine, or with both.\nIllustrations.\n(a) A, a landholder, knowing of the commission of a murder within the limits of his estate, wilfully misinforms the Magistrate of the district that the death has occurred by accident in consequence of the bite of a snake. A is guilty of the offence defined in this section.\n(b) A, a village watchman, knowing that a considerable body of strangers has passed through his village in order to commit a dacoity in the house of Z, a wealthy merchant residing in a neighbouring place, and being legally bound to give early and punctual information of the above fact to the officer of the nearest police station, wilfully misinforms the police officer that a body of suspicious characters passed through the village with a view to commit dacoity in a certain distant place in a different direction. Here A is guilty of the offence defined in this section.\nExplanation.-In section 211 and in this section the word ""offence"" include any act committed at any place out of India, which, if committed in India, would be punishable under any of the following sections, namely, 103, 105, 307, sub-sections (2), (3) and (4) of section 309, sub-sections (2), (3), (4) and (5) of section 310, 311, 312, clauses (f) and (g) of section 326, sub-sections (4), (6), (7) and (8) of section 331, clauses (a) and (b) of section 332 and the word ""offender"" includes any person who is alleged to have been guilty of any such act.'}"
Explain the legal implications of refusing oath or affirmation when duly required by a public servant to make it according to Indian Penal Code (IPC 1860) Section 178: Refusing oath or affirmation when duly required by public servant to make it and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '178', 'IPC Heading': 'Refusing oath or affirmation when duly required by public servant to make it', 'IPC Descriptions': ' Indian Penal Code, 1860 \n178.\nRefusing oath or affirmation when duly required by public servant to make it\nWhoever refuses to\nbind himself by an oath 99[or affirmation] to state the truth, when\nrequired so to bind himself by a public servant legally competent to require\nthat he shall so bind himself, shall be punished with simple imprisonment for a\nterm which may extend to six months, or with fine which may extend to one\nthousand rupees, or with both.', 'BNS Section': '213', 'BNS Heading': 'Refusing oath or affirmation when duly required by public servant to make it', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n213. Refusing oath or affirmation when duly required by public servant to make it.\nWhoever refuses to bind himself by an oath or affirmation to state the truth, when required so to bind himself by a public servant legally competent to require that he shall so bind himself, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to five thousand rupees, or with both.'}"
Discuss the provisions for refusing to answer a public servant authorized to question as outlined in Indian Penal Code (IPC 1860) Section 179: Refusing to answer public servant authorized to question and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '179', 'IPC Heading': 'Refusing to answer public servant authorised to question', 'IPC Descriptions': ' Indian Penal Code, 1860 \n179.Refusing\nto answer public servant authorized to question\nWhoever, being legally\nbound to state the truth on any subject to any public servant, refuses to\nanswer any question demanded of him touching that subject by such public\nservant in the exercise of the legal powers of such public servant, shall be\npunished with simple imprisonment for a term which may extend to six months, or\nwith fine which may extend to one thousand rupees, or with both.', 'BNS Section': '214', 'BNS Heading': 'Refusing to answer public servant authorised to question', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n214. Refusing to answer public servant authorised to question.\nWhoever, being legally bound to state the truth on any subject to any public servant, refuses to answer any question demanded of him touching that subject by such public servant in the exercise of the legal powers of such public servant, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to five thousand rupees, or with both.'}"
Explain the consequences of refusing to sign a statement as per Indian Penal Code (IPC 1860) Section 180: Refusing to sign statement and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.Explain the legal implications of making a false statement on oath or affirmation to a public servant or person authorized to administer an oath or affirmation as per Indian Penal Code (IPC 1860) Section 181: False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '180', 'IPC Heading': 'Refusing to sign statement', 'IPC Descriptions': ' Indian Penal Code, 1860 \n180.\nRefusing to sign statement \nWhoever refuses to\nsign any statement made by him, when required to sign that statement by a\npublic servant legally competent to require that he shall sign that statement,\nshall be punished with simple imprisonment for a term which may extend to three\nmonths, or with fine which may extend to five hundred rupees, or with both.', 'BNS Section': '215', 'BNS Heading': 'Refusing to sign statement', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n215. Refusing to sign statement.\nWhoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to three thousand rupees, or with both.'}"
Discuss the consequences of providing false information with intent to cause a public servant to use his lawful power to the injury of another person according to Indian Penal Code (IPC 1860) Section 181	False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '181', 'IPC Heading': 'False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation', 'IPC Descriptions': ' Indian Penal Code, 1860 \n181. False\nstatement on oath or affirmation to public servant or person authorized to\nadminister an oath or affirmation \nWhoever, being legally\nbound by an oath 1[or affirmation] to state the truth on any subject\nto any public servant or other person authorized by law to administer such oath\n1[or affirmation], makes, to such public servant or other person as\naforesaid, touching the subject, any statement which is false, and which he\neither knows or believes to be false or does not believe to be true, shall be\npunished with imprisonment of either description for a term which may extend to\nthree years, and shall also be liable to fine.', 'BNS Section': '216', 'BNS Heading': 'False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n216. False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation.\nWhoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorised by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.'}"
"Discuss the consequences of providing false information with intent to cause a public servant to use his lawful power to the injury of another person according to Indian Penal Code (IPC 1860) Section 182: False information, with intent to cause public servant to use his lawful power to the injury of another person and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.","{'IPC Section': '182', 'IPC Heading': 'False information, with intent to cause public servant to use his lawful power to the injury of another person', 'IPC Descriptions': "" Indian Penal Code, 1860 \n100  [182. False information, with intent to\ncause public servant to use his lawful power to the injury of another person\nWhoever gives to any\npublic servant any information which he knows or believes to be false,\nintending thereby to cause, or knowing it to be likely that he will thereby\ncause, such public servant\n(a) to do or omit anything\nwhich such public servant ought not to do or omit if the true state of facts\nrespecting which such information is given were known by him, or\n(b) to use the lawful\npower of such public servant to the injury or annoyance of any person,\nshall be punished with\nimprisonment of either description for a term which may extend to six months,\nor with fine which may extend to one thousand rupees, or with both.\nIllustrations\n(a) A informs a\nMagistrate that Z, a policeofficer, subordinate to such Magistrate, has been\nguilty of neglect of duty or misconduct, knowing such information to be false,\nand knowing it to be likely that the information will cause the Magistrate to\ndismiss Z. A has committed the offence defined in this section.\n(b) A falsely informs a\npublic servant that Z has contraband salt in a secret place knowing such\ninformation to be false, and knowing that it is likely that the consequence of\nthe information will be a search of Z's premises, attended with annoyance to Z.\nA has committed the offence defined in this section.\n(c) A falsely informs\na policeman that he has been assaulted and robbed in the neighborhood of a\nparticular village. He does not mention the name of any person as one of his\nassistants, but knows it to be likely that in consequence of this information\nthe police will make enquiries and institute searches in the village to the\nannoyance of the villages or some of them. A has committed an offence under\nthis section.]"", 'BNS Section': '217', 'BNS Heading': 'False information, with intent to cause public servant to use his lawful power to injury of another person', 'BNS description': ""The Bharatiya Nyaya Sanhita, 2023\n217. False information, with intent to cause public servant to use his lawful power to injury of another person.\nWhoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause, such public servant\n(a) to do or omit anything which such public servant ought not to do or omit if the true state of facts respecting which such information is given were known by him; or\n(b) to use the lawful power of such public servant to the injury or annoyance of any person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to ten thousand rupees, or with both.\nIllustrations.\n(a) A informs a Magistrate that Z, a police officer, subordinate to such Magistrate, has been guilty of neglect of duty or misconduct, knowing such information to be false, and knowing it to be likely that the information will cause the Magistrate to dismiss Z. A has committed the offence defined in this section.\n(b) A falsely informs a public servant that Z has contraband salt in a secret place, knowing such information to be false, and knowing that it is likely that the consequence of the information will be a search of Z's premises, attended with annoyance to Z. A has committed the offence defined in this section.\n(c) A falsely informs a policeman that he has been assaulted and robbed in the neighbourhood of a particular village. He does not mention the name of any person as one of his assailants, but knows it to be likely that in consequence of this information the police will make enquiries and institute searches in the village to the annoyance of the villagers or some of them. A has committed an offence under this section.""}"
Explain the legal implications of resisting the taking of property by the lawful authority of a public servant as outlined in Indian Penal Code (IPC 1860) Section 183: Resistance to the taking of property by the lawful authority of a public servant and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '183', 'IPC Heading': 'Resistance to the taking of property by the lawful authority of a public servant', 'IPC Descriptions': ' Indian Penal Code, 1860 \n183.\nResistance to the taking of property by the lawful authority of a public\nservant \nWhoever offers any\nresistance to the taking of any property by the lawful authority of any public\nservant, knowing or having reason to believe that he is such public servant,\nshall be punished with imprisonment of either description for a term which may\nextend to six months, or with fine which may extend to one thousand rupees, or\nwith both.', 'BNS Section': '218', 'BNS Heading': 'Resistance to taking of property by lawful authority of a public servant', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n218. Resistance to taking of property by lawful authority of a public servant.\nWhoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to ten thousand rupees, or with both.'}"
Discuss the provisions for obstructing the sale of property offered for sale by the authority of a public servant as per Indian Penal Code (IPC 1860) Section 184: Obstructing sale of property offered for sale by authority of public servant and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '184', 'IPC Heading': 'Obstructing sale of property offered for sale by authority of public servant', 'IPC Descriptions': ' Indian Penal Code, 1860 \n184.\nObstructing sale of property offered for sale by authority of public servant\nWhoever intentionally\nobstructs any sale of property offered for sale by the lawful authority of any\npublic servant, as such, shall be punished with imprisonment of either\ndescription for a term which may extend to one month, or with fine which may\nextend to five hundred rupees, or with both.', 'BNS Section': '219', 'BNS Heading': 'Obstructing sale of property offered for sale by authority of public servant', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n219. Obstructing sale of property offered for sale by authority of public servant.\nWhoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five thousand rupees, or with both.'}"
Explain the consequences of illegal purchase or bid for property offered for sale by the authority of a public servant according to Indian Penal Code (IPC 1860) Section 185: Illegal purchase or bid for property offered for sale by authority of public servant and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '185', 'IPC Heading': 'Illegal purchase or bid for property offered for sale by authority of public servant', 'IPC Descriptions': ' Indian Penal Code, 1860 \n185. Illegal\npurchase or bid for property offered for sale by authority of public servant\nWhoever, at any sale\nof property held by the lawful authority of a public servant, as such,\npurchases or bids for any property on account of any person, whether himself or\nany other, whom he knows to be under a legal incapacity to purchase that\nproperty at that sale, or bids for such property not intending to perform the\nobligations under which he lays himself by such bidding, shall be punished with\nimprisonment of either description for a term which may extend to one month, or\nwith fine which may extend to two hundred rupees, or with both.', 'BNS Section': '220', 'BNS Heading': 'Illegal purchase or bid for property offered for sale by authority of public servant', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n220. Illegal purchase or bid for property offered for sale by authority of public servant.\nWhoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.'}"
Discuss the legal implications of obstructing a public servant in the discharge of public functions as outlined in Indian Penal Code (IPC 1860) Section 186: Obstructing public servant in discharge of public functions and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '186', 'IPC Heading': 'Obstructing public servant in discharge of public functions', 'IPC Descriptions': ' Indian Penal Code, 1860 \n186.\nObstructing public servant in discharge of public functions\nWhoever voluntarily\nobstructs any public servant in the discharge of his public functions, shall be\npunished with imprisonment of either description for a term which may extend to\nthree months, or with fine which may extend to five hundred rupees, or with\nboth.', 'BNS Section': '221', 'BNS Heading': 'Obstructing public servant in discharge of public functions', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n221. Obstructing public servant in discharge of public functions.\nWhoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two thousand and five hundred rupees, or with both.'}"
Explain the provisions for omission to assist a public servant when bound by law to give assistance as per Indian Penal Code (IPC 1860) Section 187: Omission to assist public servant when bound by law to give assistance and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '187', 'IPC Heading': 'Omission to assist public servant when bound by law to give assistance', 'IPC Descriptions': ' Indian Penal Code, 1860 \n187.\nOmission to assist public servant when bound by law to give assistance\nWhoever, being bound\nby law to render or furnish assistance to any public servant in the execution\nof his public duty, intentionally omits to give such assistance, shall be\npunished with simple imprisonment for a term which may extend to one month, or\nwith fine which may extend to two hundred rupees, or with both;\nand if such assistance\nbe demanded of him by a public servant legally competent to make such demand\nfor the purposes of executing any process lawfully issued by a Court of\nJustice, or of preventing the commission of an offence, or of suppressing a\nnot, or affray, or of apprehending a person charged with or guilty of an\noffence, or of having escaped from lawful custody, shall be punished with\nsimple imprisonment for a term which may extend to six months, or with fine\nwhich may extend to five hundred rupees, or with both.', 'BNS Section': '222', 'BNS Heading': 'Omission to assist public servant when bound by law to give assistance', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n222. Omission to assist public servant when bound by law to give assistance.\nWhoever, being bound by law to render or furnish assistance to any public servant in the execution of his public duty, intentionally omits to give such assistance,\n(a) shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two thousand and five hundred rupees, or with both;\n(b) and where such assistance be demanded of him by a public servant legally competent to make such demand for the purposes of executing any process lawfully issued by a Court or of preventing the commission of an offence, or suppressing a riot, or affray, or of apprehending a person charged with or guilty of an offence, or of having escaped from lawful custody, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to five thousand rupees, or with both.'}"
Discuss the consequences of disobedience to an order duly promulgated by a public servant according to Indian Penal Code (IPC 1860) Section 188: Disobedience to order duly promulgated by public servant and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '188', 'IPC Heading': 'Disobedience to order duly promulgated by public servant', 'IPC Descriptions': ' Indian Penal Code, 1860 \n188.\nDisobedience to order duly promulgated by public servant\nWhoever, knowing that,\nby an order promulgated by a public servant lawfully empowered to promulgate\nsuch order, he is directed to abstain from a certain act, or to take certain\norder with certain property in his possession or under his management, disobeys\nsuch direction,\nshall, if such\ndisobedience causes to tender to cause obstruction, annoyance or injury, or risk\nof obstruction, annoyance or injury, to any person lawfully employed, be\npunished with simple imprisonment for a term which may extend to one month or\nwith fine which may extend to two hundred rupees, or with both;\nand if such\ndisobedience causes or trends to cause danger to human life, health or safety,\nor causes or tends to cause a not or affray, shall be punished with\nimprisonment of either description for a term which may extend to six months,\nor with fine which may extend to one thousand rupees, or with both.\nExplanation  It is not necessary that the offender should intend to\nproduce harm, or contemplate his disobedience as likely to produce harm. It is\nsufficient that he knows of the order which he disobeys, and that his\ndisobedience produces, or is likely to produce, harm. \nIllustration\nAn order is\npromulgated by a public servant lawfully empowered to promulgate such order,\ndirection that a religious procession shall not pass down a certain street. A\nknowingly disobeys the order, and thereby causes danger of not. A has committed\nthe offence defined in this section.', 'BNS Section': '223', 'BNS Heading': 'Disobedience to order duly promulgated by public servant', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n223. Disobedience to order duly promulgated by public servant.\nWhoever, knowing that, by an order promulgated by a public servant lawfully empowered to promulgate such order, he is directed to abstain from a certain act, or to take certain order with certain property in his possession or under his management, disobeys such direction,\n(a) shall, if such disobedience causes or tends to cause obstruction, annoyance or injury, or risk of obstruction, annoyance or injury, to any person lawfully employed, be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to two thousand and five hundred rupees, or with both;\n(b) and where such disobedience causes or tends to cause danger to human life, health or safety, or causes or tends to cause a riot or affray, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to five thousand rupees, or with both.\nExplanation.It is not necessary that the offender should intend to produce harm, or contemplate his disobedience as likely to produce harm. It is sufficient that he knows of the order which he disobeys, and that his disobedience produces, or is likely to produce, harm.\nIllustration.\nAn order is promulgated by a public servant lawfully empowered to promulgate such order, directing that a religious procession shall not pass down a certain street. A knowingly disobeys the order, and thereby causes danger of riot. A has committed the offence defined in this section.'}"
Explain the legal implications of threatening injury to a public servant as outlined in Indian Penal Code (IPC 1860) Section 189: Threat of injury to public servant and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '189', 'IPC Heading': 'Threat of injury to public servant', 'IPC Descriptions': ' Indian Penal Code, 1860 \n189. Threat\nof injury to public servant\nWhoever holds out any\nthreat of injury to any public servant, or to any person in whom he believes\nthat public servant to be interested, for the purpose of inducing that public\nservant to do any act, or to forbear or delay to do any act, connected with the\nexercise of the public functions of such public servant, shall be punished with\nimprisonment of either description for a term which may extend to two years, or\nwith fine, or with both.', 'BNS Section': '224', 'BNS Heading': 'Threat of injury to public servant', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n224. Threat of injury to public servant.\nWhoever holds out any threat of injury to any public servant, or to any person in whom he believes that public servant to be interested, for the purpose of inducing that public servant to do any act, or to forbear or delay to do any act, connected with the exercise of the public functions of such public servant, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.'}"
Discuss the provisions for threatening injury to induce a person to refrain from applying for protection to a public servant as per Indian Penal Code (IPC 1860) Section 190: Threat of injury to induce person to refrain from applying for protection to public servant and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '190', 'IPC Heading': 'Threat of injury to induce person to refrain from applying for protection to public servant', 'IPC Descriptions': ' Indian Penal Code, 1860 \n190. Threat\nof injury to induce person to refrain from applying for protection to public\nservant \nWhoever holds out any\nthreat of injury to any person for the purpose of inducing that person to\nrefrain or desist from making a legal application for protection against any\ninjury to any public servant legally empowered as such to give such protection,\nor to cause such protection to be given, shall be punished with imprisonment of\neither description for a term which may extend to one year, or with fine, or\nwith both.', 'BNS Section': '225', 'BNS Heading': 'Threat of injury to induce person to refrain from applying for protection to public servant', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n225. Threat of injury to induce person to refrain from applying for protection to public servant.\nWhoever holds out any threat of injury to any person for the purpose of inducing that person to refrain or desist from making a legal application for protection against any injury to any public servant legally empowered as such to give such protection, or to cause such protection to be given, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.'}"
